name,ra,dec,l,b,N,velocity,distance,members
Dorado,64.5,-55.79999923706055,234.0,-40.0,19,1000.0,65.0,"1515,1533,1536,1543,1546,1549,1553,1556,1566,1574,1581,1596,1602,1617,IC2038,IC2056,IC2058,IC2085,ESO157-49."
NGC7424,345.0,-40.79999923706055,249.0,10.0,4,1008.0,60.0,"7412A,7424,7456,7462."
NGC1947,81.75,-64.0999984741211,219.0,-39.0,3,1012.0,60.0,"1892,1947,2082."
NGC7331,339.25,34.400001525878906,328.0,37.0,3,1033.0,55.0,"7320,7331,UGC12082."
NGC4151,183.0,39.400001525878906,76.0,2.0,6,1043.0,60.0,"4145,4151,4369,UGC7125,UGC7175,UGC7207."
NGC4753,193.75,0.6000000238418579,116.0,0.0,9,1084.0,55.0,"4753,4771,4772,4809,4845,4900,4904,UGC7982,UGC8041."
NGC3370,162.75,17.299999237060547,89.0,-23.0,6,1099.0,65.0,"3370,3443,3447,3454,3455,UGC5945."
NGC5248,204.25,8.699999809265137,111.0,13.0,3,1116.0,65.0,"5248,UGC8575,UGC8614."
NGC1532,63.25,-32.400001525878906,265.0,-50.0,3,1124.0,70.0,"1532,1537,ESO420-9."
NGC1068,40.75,0.30000001192092896,305.0,-26.0,6,1126.0,70.0,"1055,1068,1073,UGC2275,UGC2302,UGCA44."
NGC3166,153.5,3.4000000953674316,100.0,-37.0,3,1127.0,70.0,"3156,3166,3169."
NGC3227,156.0,19.899999618530273,83.0,-28.0,3,1143.0,75.0,"3226,3227,UGC5675."
NGC7814,1.25,16.100000381469727,309.0,16.0,5,1146.0,70.0,"14,7914,UGC17,UGC122,UGC12893."
Ursa Major N,176.75,53.79999923706055,61.0,3.0,28,1148.0,60.0,"3631,3657,3718,3729,3733,3756,3795,3804,3846A,3850,3898,3913,3917,3953,3972,3982,3992,3998,4102,4142,UGC6251,UGC6575,UGC6616,UGC6667,UGC6802,UGC6840,UGC6923,UGC6983."
NGC1672,72.25,-59.400001525878906,227.0,-41.0,4,1161.0,65.0,"1672,1688,1703,1824."
NGC4856,196.0,-15.399999618530273,132.0,-2.0,4,1182.0,55.0,"4856,4984,MCG-2-33-88,MCG-3-33-32."
NGC5364,208.75,5.0,116.0,16.0,5,1185.0,70.0,"5300,5348,5356,5363,5364."
NGC4179,182.75,2.0,112.0,-10.0,3,1188.0,55.0,"4116,4123,4179."
NGC4697,193.25,-7.400000095367432,123.0,-2.0,25,1191.0,55.0,"4691,4697,4699,4700,4731,4742,4775,4781,4818,4941,4948,4951,4958,IC3908,UGCA295,MCGMCG-1-33-82,MCG-2-33-15,MCG-2-34-6."
NGC2442,113.25,-69.4000015258789,202.0,-36.0,3,1193.0,70.0,"2397,2434,2442."
NGC3338,161.0,13.699999809265137,92.0,-26.0,3,1198.0,70.0,"3338,3346,3389."
NGC3585,168.25,-26.799999237060547,139.0,-29.0,3,1203.0,70.0,"3585,ESO438-5,ESO438-17."
